,species_common_name,period,ace_transfer_price,starting_year,fishing_year,wt_ace_2,wt_ace_1
207,Blue Cod,Starting Oct 2017,1.407982106,2017,2018,,1.055986579
208,Blue Cod,Starting Oct 2018,1.520802024,2018,2018,0.380200506,
208,Blue Cod,Starting Oct 2018,1.520802024,2018,2019,,1.140601518
209,Blue Cod,Starting Oct 2019,1.699541702,2019,2019,0.424885426,
209,Blue Cod,Starting Oct 2019,1.699541702,2019,2020,,1.274656277
210,Blue Cod,Starting Oct 2020,1.807974663,2020,2020,0.451993666,
210,Blue Cod,Starting Oct 2020,1.807974663,2020,2021,,1.355980997
211,Blue Cod,Starting Oct 2021,2.209393764,2021,2021,0.552348441,
211,Blue Cod,Starting Oct 2021,2.209393764,2021,2022,,1.657045323
212,Blue Mackerel,Starting Oct 2002,0.102341558,2002,2002,0.025585389,
212,Blue Mackerel,Starting Oct 2002,0.102341558,2002,2003,,0.076756168
213,Blue Mackerel,Starting Oct 2003,0.135039821,2003,2003,0.033759955,
213,Blue Mackerel,Starting Oct 2003,0.135039821,2003,2004,,0.101279866
214,Blue Mackerel,Starting Oct 2004,0.131435802,2004,2004,0.032858951,
214,Blue Mackerel,Starting Oct 2004,0.131435802,2004,2005,,0.098576852
215,Blue Mackerel,Starting Oct 2005,0.120413623,2005,2005,0.030103406,
215,Blue Mackerel,Starting Oct 2005,0.120413623,2005,2006,,0.090310217
216,Blue Mackerel,Starting Oct 2006,0.119565416,2006,2006,0.029891354,
216,Blue Mackerel,Starting Oct 2006,0.119565416,2006,2007,,0.089674062
217,Blue Mackerel,Starting Oct 2007,0.116403761,2007,2007,0.02910094,
217,Blue Mackerel,Starting Oct 2007,0.116403761,2007,2008,,0.08730282
218,Blue Mackerel,Starting Oct 2008,0.123651096,2008,2008,0.030912774,
218,Blue Mackerel,Starting Oct 2008,0.123651096,2008,2009,,0.092738322
219,Blue Mackerel,Starting Oct 2009,0.117478148,2009,2009,0.029369537,
219,Blue Mackerel,Starting Oct 2009,0.117478148,2009,2010,,0.088108611
220,Blue Mackerel,Starting Oct 2010,0.102859193,2010,2010,0.025714798,
220,Blue Mackerel,Starting Oct 2010,0.102859193,2010,2011,,0.077144395
221,Blue Mackerel,Starting Oct 2011,0.11307013,2011,2011,0.028267533,
221,Blue Mackerel,Starting Oct 2011,0.11307013,2011,2012,,0.084802598
222,Blue Mackerel,Starting Oct 2012,0.117977642,2012,2012,0.029494411,
