Combined Port Price Data ($/kg) Greenweight,Year range =  October to September,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Fish Stock,Species,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/2022
ELE3,Elephant Fish,2.43,2.43,2.19,2.54,2.52,2.26,2.48,2.45,2.38,2.63,2.604484908,2.58639468,2.564419957,2.656071453
ELE5,Elephant Fish,2.04,2.04,2.13,2.31,2.29,2.00,2.14,2.50,2.41,2.38,2.464083707,2.23144073,2.350594806,2.57689094
ELE7,Elephant Fish,2.37,2.37,1.23,1.63,1.62,2.08,2.20,2.28,2.28,2.36,1.98,1.93,1.96,1.953922537
EMA1,Blue Mackerel,0.36,0.36,0.42,0.42,0.42,0.46,0.46,0.40,0.40,0.41,0.403488634,0.402456712,0.452653468,0.452653468
EMA10,Blue Mackerel,0.36,0.36,0.51,0.51,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42
EMA2,Blue Mackerel,0.36,0.36,0.66,0.50,0.42,0.45,0.45,0.37,0.43,0.41,0.400336421,0.34574378,0.419058372,0.419058372
EMA3,Blue Mackerel,0.36,0.36,0.51,0.51,0.42,0.42,0.42,0.42,0.42,0.41,0.408292584,0.34574378,0.419058372,0.419058372
EMA7,Blue Mackerel,0.36,0.36,0.88,0.51,0.42,1.11,1.11,0.23,0.40,0.41,0.408292584,0.183054412,0.31336841,0.31336841
FLA1,Flatfish,3.32,3.32,3.15,2.97,2.95,4.50,4.50,8.26,6.03,6.23,7.443973784,7.443973784,9.835377876,9.835377876
FLA10,Flatfish,3.32,3.32,3.15,2.97,2.95,4.50,4.50,5.18,5.18,5.18,5.179816621,5.179816621,5.179816621,5.179816621
FLA2,Flatfish,3.32,3.32,3.00,2.97,2.95,4.29,4.29,5.18,3.87,2.32,4.083935944,4.083935944,4.141142496,4.141142496
FLA3,Flatfish,3.31,3.31,3.08,2.88,2.86,3.82,3.98,4.07,3.32,3.99,3.744529898,3.104563985,3.293540864,3.312834608
FLA7,Flatfish,3.32,3.32,3.15,2.97,2.95,4.55,4.55,5.18,3.32,3.99,3.770069067,3.138893484,3.311830897,3.311830897
FRO1,Frostfish,0.32,0.32,0.38,0.84,0.83,0.83,0.83,0.83,0.48,0.53,0.452237014,0.667187104,0.499551846,0.432307149
FRO10,Frostfish,0.32,0.32,0.59,1.06,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05
FRO2,Frostfish,0.34,0.34,0.26,0.37,0.37,0.39,0.39,0.39,0.34,0.28,0.261885987,0.2748411,0.2748411,0.2748411
FRO3,Frostfish,0.45,0.45,0.59,1.06,1.05,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64
FRO4,Frostfish,0.32,0.32,0.59,0.39,0.39,2.27,2.27,0.30,0.30,0.30,0.302087444,0.302087444,0.319986515,0.319986515
FRO5,Frostfish,0.29,0.29,0.59,1.06,1.05,1.32,1.32,1.32,1.32,1.32,1.32,0.270771244,0.270771244,0.270771244
FRO6,Frostfish,0.32,0.32,0.59,1.06,1.05,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49
FRO7,Frostfish,0.32,0.32,0.59,0.91,0.90,0.90,0.90,0.90,0.90,0.90,0.9,0.9,0.9,0.9
FRO8,Frostfish,0.32,0.32,0.59,1.06,1.05,1.05,1.05,0.17,0.17,0.17,0.165295613,0.165295613,0.354663057,0.354663057
FRO9,Frostfish,0.32,0.32,0.46,1.06,1.05,1.05,1.05,0.21,0.21,0.21,0.205429838,0.313634932,0.33692189,0.315675689
GAR1,Garfish,6.17,6.17,8.26,7.75,7.69,7.69,7.69,7.69,7.69,7.69,7.69,9.301264977,10.64454444,10.64454444
GAR10,Garfish,6.17,6.17,8.26,7.75,7.69,7.69,7.69,7.69,7.69,7.69,7.69,7.69,7.69,7.69
GAR2,Garfish,6.17,6.17,8.26,7.75,7.69,7.69,7.69,7.69,7.69,7.69,7.69,7.69,7.69,7.69
GAR3,Garfish,6.17,6.17,8.26,7.75,7.69,7.69,7.69,7.69,7.69,7.69,7.69,7.69,7.69,7.69
GAR4,Garfish,6.17,6.17,8.26,7.75,7.69,7.69,7.69,7.69,7.69,7.69,7.69,7.69,7.69,7.69
GAR7,Garfish,6.17,6.17,8.26,7.75,7.69,7.69,7.69,7.69,7.69,7.69,7.69,7.69,7.69,7.69
GAR8,Garfish,6.17,6.17,8.26,7.75,7.69,7.69,7.69,7.69,7.69,7.69,7.69,7.69,7.69,7.69
GLM1,Green Lipped Mussell,0.20,0.20,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
GLM10,Green Lipped Mussell,0.20,0.20,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
GLM2,Green Lipped Mussell,0.20,0.20,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
GLM3,Green Lipped Mussell,0.20,0.20,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
GLM7A,Green Lipped Mussell,0.20,0.20,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
GLM7B,Green Lipped Mussell,0.20,0.20,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
GLM8,Green Lipped Mussell,0.20,0.20,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
GLM9,Green Lipped Mussell,4.35,4.35,5.25,5.27,5.23,5.23,5.23,5.23,5.23,5.23,5.23,5.23,5.23,5.23
GMU1,Grey Mullet,3.09,3.09,3.42,3.63,3.60,3.60,3.60,3.80,3.84,3.84,3.839983002,4.762306675,4.769091283,4.756728944
GMU10,Grey Mullet,3.09,3.09,3.42,3.63,3.60,3.60,3.60,3.60,3.60,3.60,3.6,3.6,3.6,3.6
GMU2,Grey Mullet,3.09,3.09,3.42,3.63,3.60,3.60,3.60,3.60,3.60,3.60,3.6,3.6,3.6,3.6
GMU3,Grey Mullet,3.09,3.09,3.42,3.63,3.60,3.60,3.60,3.60,3.60,3.60,3.6,3.6,3.6,3.6
GMU7,Grey Mullet,3.09,3.09,3.42,3.63,3.60,3.60,3.60,3.60,3.60,3.60,3.6,3.6,3.6,3.6
GSC1,Giant spider crab,3.00,3.00,3.62,3.63,3.60,3.60,0.20,0.20,0.20,0.20,0.2,0.2,0.2,0.2
GSC10,Giant spider crab,3.00,3.00,3.62,3.63,3.60,3.60,0.20,0.20,0.20,0.20,0.2,0.2,0.2,0.2
GSC3,Giant spider crab,3.00,3.00,3.62,3.63,3.60,3.60,0.20,0.20,0.20,0.20,0.2,0.2,0.2,0.2
GSC5,Giant spider crab,3.00,3.00,3.62,3.63,3.60,3.60,0.20,0.20,0.20,0.20,0.2,0.2,0.2,0.2
GSC6A,Giant spider crab,3.00,3.00,3.62,3.63,3.60,3.60,0.20,0.20,0.20,0.03,0.029793929,0.029793929,0.029793929,0.029793929
GSC6B,Giant spider crab,3.00,3.00,3.62,3.63,3.60,3.60,0.20,0.20,0.20,0.20,0.2,0.2,0.2,0.2
GSH1,Ghost Shark dark,0.36,0.36,0.22,0.38,0.38,0.58,0.58,0.34,0.43,0.27,0.268314595,0.255959681,0.531948514,0.351595637
GSH10,Ghost Shark dark,0.36,0.36,0.49,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47
GSH2,Ghost Shark dark,0.36,0.36,0.65,0.47,0.47,0.48,0.48,0.40,0.38,0.45,0.399913557,0.267277209,0.447618702,0.571458175
GSH3,Ghost Shark dark,0.36,0.36,0.46,0.48,0.48,0.44,0.44,0.40,0.42,0.39,0.331674749,0.367526139,0.460480379,0.474914692
GSH4,Ghost Shark dark,0.36,0.36,0.46,0.25,0.25,0.25,0.25,0.29,0.29,0.29,0.326604557,0.324226541,0.516112947,0.458423834
GSH5,Ghost Shark dark,0.36,0.36,0.65,0.44,0.44,0.46,0.47,0.40,0.40,0.40,0.294552339,0.317211402,0.258059885,0.376573199
GSH6,Ghost Shark dark,0.36,0.36,0.38,0.47,0.47,0.47,0.47,0.28,0.28,0.36,0.324617502,0.391024003,0.274785252,0.433215656
GSH7,Ghost Shark dark,0.36,0.36,0.50,0.47,0.47,0.47,0.47,0.45,0.44,0.44,0.427786137,0.432365922,0.449371988,0.454439022
GSH8,Ghost Shark dark,0.36,0.36,0.49,0.50,0.50,0.48,0.47,0.42,0.48,0.46,0.439803035,0.382325028,0.432816011,0.377765468
