"","fishing_period","species_code","tacc_kg","catch_kg","starting_year"
"418","for 12 months to 30-09-2021","BAR",6680492.2,NA,2020
"419","for 12 months to 30-09-2021","BCO",236578.125,NA,2020
"420","for 12 months to 30-09-2021","BIG",714000,93724,2020
"421","for 12 months to 30-09-2021","BNS",105000,NA,2020
"422","for 12 months to 30-09-2021","BUT",20250,NA,2020
"423","for 12 months to 30-09-2021","BWS",1860000,93587,2020
"424","for 12 months to 30-09-2021","BYX",499283.333333333,NA,2020
"425","for 12 months to 30-09-2021","CDL",197900,NA,2020
"426","for 12 months to 30-09-2021","COC",247230.769230769,NA,2020
"427","for 12 months to 30-09-2021","ELE",243950,NA,2020
"428","for 12 months to 30-09-2021","EMA",2310000,NA,2020
"429","for 12 months to 30-09-2021","FLA",1024300,NA,2020
"430","for 12 months to 30-09-2021","FRO",401900,NA,2020
"431","for 12 months to 30-09-2021","GAR",7142.85714285714,NA,2020
"432","for 12 months to 30-09-2021","GLM",209375,NA,2020
"433","for 12 months to 30-09-2021","GMU",201120.2,NA,2020
"434","for 12 months to 30-09-2021","GSH",304700,NA,2020
"435","for 12 months to 30-09-2021","GSP",593333.333333333,262873.666666667,2020
"436","for 12 months to 30-09-2021","GUR",1041031.16666667,717682.5,2020
"437","for 12 months to 30-09-2021","HAK",1945785.75,NA,2020
